download,upload,ping,timestamp,bytes_sent,bytes_received
395436006.92167765,24067788.49963392,33.368,2023-07-13T21:17:02.188138Z,30580736,409373932
311821648.3980059,23037750.775515355,33.894,2023-07-14T21:17:02.022138Z,30081024,389790807
423847675.8694932,24038359.822519507,35.081,2023-07-15T21:17:01.639276Z,31129600,409373932
355421191.27149254,24196522.787444495,36.195,2023-07-16T21:17:02.240604Z,30670848,409373932
345653498.5050807,23694648.94955631,34.078,2023-07-17T21:17:01.925630Z,30466048,409373932
227902584.58468136,21395936.536435537,30.307,2023-07-18T21:17:02.322649Z,27402240,285100604
360706204.86715275,22739464.755941816,40.311,2023-07-19T21:17:01.589248Z,29409280,409373932
667911692.3927063,22502779.563080583,29.433,2023-07-20T21:17:02.171471Z,28483584,409373932
363110786.4465773,22893226.207471758,33.318,2023-07-21T21:17:01.674491Z,28999680,409373932
370072184.8719397,23903553.41321918,28.842,2023-07-22T21:17:01.403488Z,30162944,409373932
468644087.78802687,24247139.685171213,36.225,2023-07-23T21:17:02.114711Z,30736384,409373932
355716419.9459541,28015213.381725084,27.481,2023-07-24T21:17:01.883812Z,35405824,409373932
462267895.75692064,25939357.850584775,27.92,2023-07-25T21:17:01.782437Z,33071104,409373932
485992836.9131666,23860752.479943354,27.086,2023-07-26T21:17:01.282988Z,31588352,409373932
393364238.07119864,24319503.32363176,27.753,2023-07-27T21:17:02.131757Z,32202752,409373932
363737368.8147397,24412258.349715352,35.584,2023-07-28T21:17:02.229947Z,30941184,409373932
673694208.9230961,28706888.243587278,26.02,2023-07-29T21:17:01.949628Z,36470784,409373932
726152630.8988446,25819496.620093,30.077,2023-07-30T21:17:01.442807Z,32964608,409373932
488602884.86889553,26149184.884352908,21.643,2023-07-31T21:17:01.319930Z,33144832,409373932
514349895.29796785,28073563.11743866,26.472,2023-08-01T21:17:01.407065Z,35528704,409373932
308878266.6937642,21554973.30706548,28.6,2023-08-02T21:17:01.796856Z,27705344,386156138
340724633.34223616,22885549.78296205,35.908,2023-08-03T21:17:01.896232Z,28803072,409373932
742944193.9579139,27478947.904182907,27.151,2023-08-04T21:17:02.205291Z,34684928,409373932
374631467.9394896,26454146.204563383,28.427,2023-08-05T21:17:01.572493Z,33259520,409373932
487210893.2016811,22607310.93836779,26.822,2023-08-06T21:17:02.151567Z,30113792,409373932
461044839.10412216,24181134.719095413,19.284,2023-08-07T21:17:01.573508Z,30326784,409373932
760720805.0115197,24434815.693302464,26.732,2023-08-08T21:17:02.193708Z,30867456,409373932
639341256.2786771,24480737.32101,26.507,2023-08-09T21:17:01.650903Z,30883840,409373932
528816483.38960147,24274499.628178563,30.113,2023-08-10T21:17:01.708691Z,30515200,409373932
655291584.7728586,24242114.54898155,27.507,2023-08-11T21:17:02.237353Z,30367744,409373932
689624547.4417539,24198768.29505902,21.592,2023-08-12T21:17:02.192428Z,31260672,409373932
406722961.3086109,24032961.261241682,30.047,2023-08-13T21:17:01.455919Z,30220288,409373932
685480214.25638,24385711.947170433,26.692,2023-08-14T21:17:02.015761Z,30539776,409373932
701097442.6782881,23274703.612128388,27.931,2023-08-15T21:17:01.894066Z,29958144,409373932
812299415.7477393,24920245.90392816,26.575,2023-08-16T21:17:01.597794Z,31260672,409373932
726281374.7457672,22093631.16694124,28.097,2023-08-17T21:17:01.922107Z,29761536,409373932
486014932.07489645,24885532.28873402,31.601,2023-08-18T21:17:01.569507Z,31293440,409373932
565950134.4571574,24250946.901069496,30.081,2023-08-19T21:17:01.636970Z,30605312,409373932
732335746.315767,23361041.528611198,29.7,2023-08-20T21:17:01.459452Z,29573120,409373932
87911314.00896983,23799212.39855826,31.317,2023-08-21T21:17:02.001114Z,29843456,110059512
519588722.6885041,24115076.932976395,31.622,2023-08-22T21:17:01.435181Z,30375936,409373932
424637029.71583885,24848847.675252806,32.992,2023-08-23T21:17:01.381453Z,31334400,409373932
